rating,interest_rate,is_rejected
1.0,0.28,0
1.0,0.28,1
1.0,0.29,0
1.0,0.29,0
1.0,0.29,0
1.0,0.29,0
1.0,0.29,0
1.0,0.3,0
1.0,0.3,0
1.0,0.3,0
1.0,0.3,0
1.0,0.3,1
1.0,0.3,0
1.0,0.3,0
1.0,0.31,0
1.0,0.31,0
1.0,0.31,0
1.0,0.31,0
1.0,0.31,0
1.0,0.31,0
1.0,0.31,0
1.0,0.31,0
1.0,0.32,0
1.0,0.32,0
1.0,0.33,0
1.0,0.33,0
1.0,0.33,0
1.0,0.33,0
2.0,0.28,0
2.0,0.28,0
2.0,0.28,0
2.0,0.28,0
2.0,0.29,0
2.0,0.29,1
2.0,0.29,1
2.0,0.29,0
2.0,0.29,0
2.0,0.29,0
2.0,0.3,0
2.0,0.3,0
2.0,0.3,0
2.0,0.3,0
2.0,0.3,0
2.0,0.3,1
2.0,0.3,0
2.0,0.3,0
2.0,0.3,0
2.0,0.3,0
2.0,0.31,0
2.0,0.31,0
2.0,0.31,1
2.0,0.31,0
2.0,0.31,1
2.0,0.31,0
2.0,0.31,0
2.0,0.32,0
2.0,0.32,0
2.0,0.32,0
2.0,0.32,0
2.0,0.32,0
2.0,0.32,0
2.0,0.32,0
2.0,0.32,0
2.0,0.32,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,1
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.33,0
2.0,0.34,0
2.0,0.34,0
2.0,0.34,0
2.0,0.34,0
2.0,0.34,0
2.0,0.34,0
2.0,0.34,0
2.0,0.34,0
2.0,0.34,0
2.0,0.34,0
2.0,0.34,0
2.0,0.34,0
2.0,0.34,0
2.0,0.34,0
2.0,0.34,0
